"Tabela 200 - População residente, por sexo, situação e grupos de idade - Amostra - Características Gerais da População"
"Variável - População residente (Pessoas)"
"Município";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Município";"Grupo de idade";"2010"
"Município";"Grupo de idade";"Total"
"Município";"Grupo de idade";"Total"
"Cococi (CE)";"Total";"..."
"Aceguá (RS)";"Total";"4394"
"Água Santa (RS)";"Total";"3722"
"Agudo (RS)";"Total";"16722"
"Ajuricaba (RS)";"Total";"7255"
"Alecrim (RS)";"Total";"7045"
"Alegrete (RS)";"Total";"77653"
"Alegria (RS)";"Total";"4301"
"Almirante Tamandaré do Sul (RS)";"Total";"2067"
"Alpestre (RS)";"Total";"8027"
"Alto Alegre (RS)";"Total";"1848"
"Alto Feliz (RS)";"Total";"2917"
"Alvorada (RS)";"Total";"195673"
"Amaral Ferrador (RS)";"Total";"6353"
"Ametista do Sul (RS)";"Total";"7323"
"André da Rocha (RS)";"Total";"1216"
"Anta Gorda (RS)";"Total";"6073"
"Antônio Prado (RS)";"Total";"12833"
"Arambaré (RS)";"Total";"3693"
"Araricá (RS)";"Total";"4864"
"Aratiba (RS)";"Total";"6565"
"Arroio do Meio (RS)";"Total";"18783"
"Arroio do Sal (RS)";"Total";"7740"
"Arroio do Padre (RS)";"Total";"2730"
"Arroio dos Ratos (RS)";"Total";"13606"
"Arroio do Tigre (RS)";"Total";"12648"
"Arroio Grande (RS)";"Total";"18470"
"Arvorezinha (RS)";"Total";"10225"
"Augusto Pestana (RS)";"Total";"7096"
"Áurea (RS)";"Total";"3665"
"Bagé (RS)";"Total";"116794"
"Balneário Pinhal (RS)";"Total";"10856"
"Barão (RS)";"Total";"5741"
"Barão de Cotegipe (RS)";"Total";"6529"
"Barão do Triunfo (RS)";"Total";"7018"
"Barracão (RS)";"Total";"5357"
"Barra do Guarita (RS)";"Total";"3089"
"Barra do Quaraí (RS)";"Total";"4012"
"Barra do Ribeiro (RS)";"Total";"12572"
"Barra do Rio Azul (RS)";"Total";"2003"
"Barra Funda (RS)";"Total";"2367"
"Barros Cassal (RS)";"Total";"11133"
"Benjamin Constant do Sul (RS)";"Total";"2307"
"Bento Gonçalves (RS)";"Total";"107278"
"Boa Vista das Missões (RS)";"Total";"2114"
"Boa Vista do Buricá (RS)";"Total";"6574"
"Boa Vista do Cadeado (RS)";"Total";"2441"
"Boa Vista do Incra (RS)";"Total";"2425"
"Boa Vista do Sul (RS)";"Total";"2776"
"Bom Jesus (RS)";"Total";"11519"
"Bom Princípio (RS)";"Total";"11789"
"Bom Progresso (RS)";"Total";"2328"
"Bom Retiro do Sul (RS)";"Total";"11472"
"Boqueirão do Leão (RS)";"Total";"7673"
"Bossoroca (RS)";"Total";"6884"
"Bozano (RS)";"Total";"2200"
"Braga (RS)";"Total";"3702"
"Brochier (RS)";"Total";"4675"
"Butiá (RS)";"Total";"20406"
"Caçapava do Sul (RS)";"Total";"33690"
"Cacequi (RS)";"Total";"13676"
"Cachoeira do Sul (RS)";"Total";"83827"
"Cachoeirinha (RS)";"Total";"118278"
"Cacique Doble (RS)";"Total";"4868"
"Caibaté (RS)";"Total";"4954"
"Caiçara (RS)";"Total";"5071"
"Camaquã (RS)";"Total";"62764"
"Camargo (RS)";"Total";"2592"
"Cambará do Sul (RS)";"Total";"6542"
"Campestre da Serra (RS)";"Total";"3247"
"Campina das Missões (RS)";"Total";"6117"
"Campinas do Sul (RS)";"Total";"5506"
"Campo Bom (RS)";"Total";"60074"
"Campo Novo (RS)";"Total";"5459"
"Campos Borges (RS)";"Total";"3494"
"Candelária (RS)";"Total";"30171"
"Cândido Godói (RS)";"Total";"6535"
"Candiota (RS)";"Total";"8771"
"Canela (RS)";"Total";"39229"
"Canguçu (RS)";"Total";"53259"
"Canoas (RS)";"Total";"323827"
"Canudos do Vale (RS)";"Total";"1807"
"Capão Bonito do Sul (RS)";"Total";"1754"
"Capão da Canoa (RS)";"Total";"42040"
"Capão do Cipó (RS)";"Total";"3104"
"Capão do Leão (RS)";"Total";"24298"
"Capivari do Sul (RS)";"Total";"3890"
"Capela de Santana (RS)";"Total";"11612"
"Capitão (RS)";"Total";"2636"
"Carazinho (RS)";"Total";"59317"
"Caraá (RS)";"Total";"7312"
"Carlos Barbosa (RS)";"Total";"25192"
"Carlos Gomes (RS)";"Total";"1607"
"Casca (RS)";"Total";"8651"
"Caseiros (RS)";"Total";"3007"
"Catuípe (RS)";"Total";"9323"
"Caxias do Sul (RS)";"Total";"435564"
"Centenário (RS)";"Total";"2965"
"Cerrito (RS)";"Total";"6402"
"Cerro Branco (RS)";"Total";"4454"
"Cerro Grande (RS)";"Total";"2417"
"Cerro Grande do Sul (RS)";"Total";"10268"
"Cerro Largo (RS)";"Total";"13289"
"Chapada (RS)";"Total";"9377"
"Charqueadas (RS)";"Total";"35320"
"Charrua (RS)";"Total";"3471"
"Chiapetta (RS)";"Total";"4044"
"Chuí (RS)";"Total";"5917"
"Chuvisca (RS)";"Total";"4944"
"Cidreira (RS)";"Total";"12668"
"Ciríaco (RS)";"Total";"4922"
"Colinas (RS)";"Total";"2420"
"Colorado (RS)";"Total";"3550"
"Condor (RS)";"Total";"6552"
"Constantina (RS)";"Total";"9752"
"Coqueiro Baixo (RS)";"Total";"1528"
"Coqueiros do Sul (RS)";"Total";"2457"
"Coronel Barros (RS)";"Total";"2459"
"Coronel Bicaco (RS)";"Total";"7748"
"Coronel Pilar (RS)";"Total";"1725"
"Cotiporã (RS)";"Total";"3917"
"Coxilha (RS)";"Total";"2826"
"Crissiumal (RS)";"Total";"14084"
"Cristal (RS)";"Total";"7280"
"Cristal do Sul (RS)";"Total";"2826"
"Cruz Alta (RS)";"Total";"62821"
"Cruzaltense (RS)";"Total";"2141"
"Cruzeiro do Sul (RS)";"Total";"12320"
"David Canabarro (RS)";"Total";"4683"
"Derrubadas (RS)";"Total";"3190"
"Dezesseis de Novembro (RS)";"Total";"2866"
"Dilermando de Aguiar (RS)";"Total";"3064"
"Dois Irmãos (RS)";"Total";"27572"
